,Category,Current Channel,Current Video,Current Views,Next Channel,Count
108,Alt-light,Loan-Capital,Michael Savage: Trump Presidency so far,4385,Loan-Capital,1
109,Alt-light,Loan-Capital,Michael Savage: Trump Presidency so far,4385,Yahoo,1
110,Alt-light,Loan-Capital,Michael Savage: Trump Presidency so far,4385,ABC News,3
111,Alt-light,Loan-Capital,Michael Savage: Trump Presidency so far,4385,Fox News,4
112,Alt-light,Loan-Capital,Michael Savage: Trump Presidency so far,4385,Fox Business,1
113,Alt-light,Liberty Hangout,Kaitlin Bennett Hosts Meme Review,445709,Liberty Hangout,6
114,Alt-light,Liberty Hangout,Kaitlin Bennett Hosts Meme Review,445709,TODAY,1
115,Alt-light,Liberty Hangout,Kaitlin Bennett Hosts Meme Review,445709,tlc uk,1
116,Alt-light,Liberty Hangout,Kaitlin Bennett Hosts Meme Review,445709,Saturday Night Live,1
117,Alt-light,Liberty Hangout,Kaitlin Bennett Hosts Meme Review,445709,Suris,1
118,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,The Daily Wire,1
119,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,Fox News,3
120,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,The Sun,1
121,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,Yahoo,1
122,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,NBC10 Philadelphia,1
123,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,PowerfulJRE,1
124,Alt-light,The Daily Wire,"INSANE: Twitter ""Fact-Checks"" Trump with a CNN Report",36254,CNN,2
125,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,Michael Knowles,1
126,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,The Sun,1
127,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,Fox News,3
128,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,Real Vision Finance,1
129,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,WGN News,1
130,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,HooverInstitution,1
131,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,Yahoo,1
132,Alt-light,Michael Knowles,Flatten The Narrative | Ep. 528,8571,Gabriel Iglesias,1
133,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,SHUTTERSHOT45,1
134,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,Click On Detroit | Local 4 | WDIV,2
135,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,ABC 10 News,1
136,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,USA TODAY,1
137,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,The News & Observer,1
138,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,Ray Zombie,1
139,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,Ruptly,1
140,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,KING 5,1
141,Alt-light,SHUTTERSHOT45,Trump supporters stop Antifa from blocking traffic Berkeley Ca,4469056,ABC7,1
142,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Dame Pesos,3
143,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Real Time with Bill Maher,1
144,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,LaughPlanet,1
145,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Click On Detroit | Local 4 | WDIV,1
146,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Saturday Night Live,1
147,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Bostic Reiva,1
148,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Destiny,1
149,Alt-light,Dame Pesos,The video Matt false flagged + evidence,12936,Omegon,1
150,Alt-light,BlazeTV,"Trump SLAMS Violent Rioters, Promises Justice for George Floyd",15521,BlazeTV,1
151,Alt-light,BlazeTV,"Trump SLAMS Violent Rioters, Promises Justice for George Floyd",15521,Hindustan Times,1
